Sentiment,Tweet
negative,@AmericanAir most disgusting chicken entree I've ever seen.  Your standards have seriously nosedived. #NewAmerican http://t.co/56eSsfOOwt
positive,@SouthwestAir beautiful day in Seattle! http://t.co/iqu0PPVq2S
negative,"@JetBlue Cancelled Flightling flights, sending out tickets, then not telling the buyer... #jetblue how is that allowed?"
negative,@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).
neutral,@JetBlue are you ever looking for interns ?
negative,@USAirways no you not sorry. I am trying 2 add a day 2 my vacation but there is a $200 charge just 2 change flights
negative,@USAirways My wife had flight changes due to weather now she cant checkin to her return flight and it fails Is it possible usair Cancelled Flightled
neutral,@AmericanAir you set a schedule try and keep it !!! #AAALWAYSLate Flight
negative,@united is it even legal for you guys to advertise flights that you cant honor??
negative,"@united, and now while waiting for new pilot the door on plane BROKE. why am I global services status  on an airline that's unsafe? STUNNING"
negative,@USAirways 4 hrs and counting today alone... like I don't have other things to accomplish today than to just keep holding!!!
neutral,@united 129 thousand fans of @JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon!
neutral,@SouthwestAir chances of flight leaving BNA tomorrow at 6:20 am (to LGA)?
negative,@SouthwestAir Please update your website
negative,@AmericanAir  help. Flight to Dallas was Cancelled Flightled this morning from cle. on hold for  3 hours. Need to be booked on next flight out.
negative,@AmericanAir This doesn't address my issue. I am on hold for 30 min to speak with an agent.
negative,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA
neutral,@united hi! I just bought a flight with united through ebokeers from Paris to Miami. Do I have any chance to check that everything is ok?
negative,@United agent did help me. My point: there's a problem &amp; I don't want it to mess up somebody else's plans. Can u flow this to tech team pls?
negative,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
negative,@USAirways You won't give us a hotel or food. Can you at least suggestion options for making it to the metro city I have a ticket to?
neutral,"@SouthwestAir Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!"
negative,@united Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2
positive,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA"
neutral,"@AmericanAir My chariot tonight. From this angle it looks like a 787, no? http://t.co/3ZZKQWWbJz"
negative,@USAirways @AmericanAir hey since you    f*%#ed my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare}
neutral,@United so whats the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere
positive,@USAirways Fabulous - thank you so much! Looking forward to taking to the skies with you! :)
negative,@united you should tell that to the staff at LAX then. I boarded group 5 at the very end of the queue as a Gold member. Thanks for nothing.
neutral,"@USAirways @PDQuigley any progress? Good luck, Patrick!"
neutral,@SouthwestAir Already rebooked for tomorrow. Fingers crossed!
negative,@united ...and when that doesn't work...
negative,"@JetBlue and have empty ""help"" desks"
negative,@JetBlue according to jfk plenty of planes are landing. No problem there
neutral,@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.
negative,@AmericanAir @SentieriMelinda Any updates? It shouldn't take hours for assistance. I love @SouthwestAir
positive,@SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons #DestinationDragons 
negative,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service "
negative,@USAirways 2 hours and counting waiting to get into a gate in Philadelphia. Just icing on the cake for a miserable flight experience
negative,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion"
positive,@AmericanAir fantastic thanks! Will try and tweet a photo of the view :)
neutral,@JetBlue Is that a guarantee? We'll see about that tomorrow morning when I have to fight for a seat.
negative,@USAirways duh on baggage claim 2 more hours and counting .. Flights 622 &amp; 1898 http://t.co/DkZl57uPQI
negative,"@united since I have an international connection at 9am, I'm hoping for the same thing!"
negative,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?"
negative,@SouthwestAir Have been on hold to reschedule a flight for 1.5 hours! Please help! Phone will be out of batteries soon.
negative,@united airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE
negative,@USAirways @AmericanAir working for me. Tight cx @Mia so they're delaying our flight. Twice. In 20 secs @jabevan221 http://t.co/G3Uy6w28QH
neutral,"@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL, Need help!! #custserv"
negative,"@SouthwestAir I always brag about ur service, but very disappointed today. Apparently I'll be sleeping on floor of Dallas airport tonight "
negative,"@SouthwestAir, sev ppl im my office received an apology and 2k. FF miles for this delay, only apologize to select ppl? I got nothing.."
positive,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!
positive,"@SouthwestAir, I really appreciate you all's #BHM commercial that aired today during @BET's #BookofNegroes"
positive,@AmericanAir thanks. Delivery status??
negative,"@USAirways on hold for 1hr, 30min. Not willing to hang in there as long as @franchise02. @AmericanAir answered in 7 min. U are not 1 yet."
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
neutral,@AmericanAir how are the runways at DFW? Will you be flying Late Flightr today? Thanks.
negative,"@united This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?"
negative,@united splitting up my flights quadruples the price
negative,@USAirways today's flight to Philadelphia.  It's a little disappointing for the unnecessary delays and it's not even snowing in FL.
neutral,@AmericanAir can we get a status update on flight 1457? Are we going to make it home tonight...?
negative,@AmericanAir one staff on desk. Now been queuing for over an hr.
positive,@USAirways I'll check it out when I get to the airport. Thanks.
negative,@AmericanAir I know you can't control weather but you can control how you treat customers..#shafted
negative,"@SouthwestAir ""...you in the 10 hrs we were hanging out there? Oh, no I understand things get crazy n sometimes 10 hours isn't long enough."""
negative,@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks
positive,@united nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.
negative,@USAirways incapable of seating a 2yo and mom together. Toddler in his own row #fail @CNN
positive,"@AmericanAir I love travel with yours planes, all people is very nice, it's amazing! Can you please follow me back? I love the company!"
negative,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
negative,@united I'm a minor and freaking out bc I might not make my connecting flight to Hawaii so yes I'm frustrated
negative,"@USAirways 42 minutes holding. Seriously, if your average wait time is over 30 minutes then maybe, just maybe, you're understaffed."
negative,"@united No, thanks. I'm sick of your company's lousy excuse for customer service. I'm never flying United again."
positive,"@SouthwestAir thank you, will do"
negative,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.
negative,@AmericanAir or at the very least an explanation on why no one told me my flight was Cancelled Flightled!
negative,@USAirways @traveloneworld .. Utterly frustrated after 4 hours on hold call was disconnected. I need to amend a Flight Booking Problems. HELP! OW Emerald
negative,@USAirways you guys suck at JFK tonight -- oh this MORNING!!!
positive,@SouthwestAir loving the boarding to go to Chicago #KeepItMovin'
negative,@AmericanAir 2nd time in 4 days that my flight has been delayed and my gate agent hasn't said anything! Thanks for the memories. #NeverAgain
negative,@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U
negative,@united who compensates is for the delays caused by the fact that you don't have enough flight attendants?? http://t.co/96apr35qan
negative,@united always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence
positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
negative,@SouthwestAir everyones flights who were Cancelled Flightled today DESERVE 1
negative,@USAirways our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.
negative,@USAirways is charging me $200 to NOT take my flight. Lol. That is the last time I fly with them.
negative,@USAirways even when I do simple google search by flight number it tells me which gate so won't be that difficult am sure #disappointed
negative,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited
negative,@united my bag is a few days Late Flight to me and this is like the 3rd time in the past couple months.  Where my free miles at?!
positive,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!
neutral,@SouthwestAir lemme come to #DestinationDragons  this university student could use a break from all these books.
negative,@AmericanAir please allow me to speak with someone. A dialogue would solve this issue better and faster than emailing.
neutral,"@SouthwestAir Thanks, Lindsey. Any idea when I'll get there?! Stuck in Denver and told to ""listen to the intercom better""."
negative,@USAirways you can send my luggage to my house
neutral,@SouthwestAir would love to win tickets and take my son to Imagine Dragons in Provo Saturday night.  Crossed fingers. #DestinationDragons
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
negative,"@AmericanAir - I'd be happy to hold on the phone, but your phone system is not allowing that and simply hangs up."
positive,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #
negative,@USAirways pretty upset I drove from Philly to MHtT still no info on my bags. What's the deal!
negative,@USAirways I would be on my way but   wether has delayed yet again.. Love the Charlotte ice storm!!  Good luck with mad customers
negative,@united Bos-SF was in between waivers. Business Cancelled Flighted due to weather before/after. No flexibility/compassion in extreme circumstances = 
negative,"@united enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match."
negative,@JetBlue I'm sick of y'all.
negative,@JetBlue I have to say that JetBlue has officially lost a customer. What a waste of all the points I have too! I am yet to be in a flight..
negative,@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 
negative,"@usairways and @AmericanAir  4 days of Cancelled Flightations, I have driven to 3 airports in 3 different states, spent more on gas than my flight."
neutral,YO! @InternJohnRadio @mrerickv  give @SouthwestAir their plane back.  They're mad &amp; threatening to take away my Companion Pass. #Luv
negative,"@united - 75% of a plane's passengers boarding in your ""Premier"" groups might be an indication of a broken process."
positive,@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing
negative,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Ur60Un86gy
negative,"@united I am a loyal Premier Platinum member, but the lack of communication was really bad. Also, i dont see that it has taken off yet"
negative,@SouthwestAir My flight to KC has been Cancelled Flighted and the next available isn't till Tuesday?! What am I supposed to do for 3 nights?????
negative,"@USAirways They don't stand alone for me, I bought tix based on USAir confirmed flight. What good is confirmation if you change it anyway?"
neutral,@united tremendous. What would you recommend?
negative,@USAirways have done that. Sadly no flight from CLT has gotten to IND today and we head back to Tampa tmrw.
positive,@SouthwestAir I would love to go to the Atlanta show 
positive,@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.
neutral,@USAirways do you post travel alerts on your website? Traveling to Bdl on Sunday morning.
negative,@united fuck you for not caring 
negative,@SouthwestAir very poor customer service thru out each of my cxl flights I should've flew @Delta
positive,@AmericanAir thank you so much that helps a lot.
negative,@USAirways   Not good. On hold for over an hour. http://t.co/wSgYckCIIO
negative,@USAirways that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...
neutral,@united Lindsay and ??.  Darn.  Terrible memory on my part.  I know they are headed back to IAD and then PIT tonight.
negative,@JetBlue I understand but everyone said different things and there was a flight out Late Flightr that night but only one of us got to take it
negative,"@AmericanAir not only on both legs did I have damaged seat, u damaged an expensive case and not offered anything.Just an apology 6wks Late Flightr!"
negative,"@USAirways As a member of the news media, the awful service of the last few days won't go unnoticed."
positive,@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks
negative,"@JetBlue this is ridiculous we are on 1.5 hours coming up of waiting to deplane, there are are newborns on board"
negative,"@united yes, supposed to be here by 6PM. I have a Board Meeting tomorrow. Fingers crossed."
negative,"@SouthwestAir, what do you know? Finally lined up like cattle to board my SW flight (after original departure time) #badcustomerservice"
negative,"@AmericanAir  so far all I am getting is ""maybe your bag will come today. We don't know."" Website says ""status unknown""- can you help?"
negative,@USAirways Only the JFK baggage office is open to help re-book all of us on Cancelled Flightled flight 3121 to DCA. Shameful.
neutral,@united does forelock guarantee the fare only or fare &amp; seats?
negative,@USAirways I expect something more than telling me to see an agent to rebook my flight...
neutral,@JetBlue when will you release flights for February 2016?
neutral,@united Pick
negative,@USAirways sits on a throne of lies
negative,"@JetBlue I know, but I wanted to pass it along. Not good for the ""T5 experience"" esp for someone who flies 2-3 times a month."
neutral,@AmericanAir do you guys have wifi on international flights?
negative,@united Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
negative,"@USAirways OK, I guess the weather has been rough but I have been trying to sort out missing air-miles for days. Any suggestions?"
negative,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.
negative,@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue
neutral,"@AmericanAir flight 1388 tomorrow 5:15 am, status please, thanks"
neutral,@USAirways Can I book award travel on Etihad with Dividend Miles?
negative,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer
positive,@united I will. Thanks.
positive,@SouthwestAir finally got through. Thanks!
neutral,@united followed &amp; DM'd.
negative,"@SouthwestAir ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury."
positive,"@JetBlue pilot: ""Don't worry folks there's a backup for the backup for every part of this plane."" Thanks guy"
negative,"@AmericanAir but not sufficiently sorry to actually *do* anything about it, I guess. Your systems are presumably beyond reproach or reform."
neutral,@united Will definitely do so. Sending a DM now.
negative,@JetBlue Headphone jack not working on my flight.
negative,@USAirways wasted a day of my vacation after problems with not one but two planes... #waitinginphilly #flight838
negative,"@united sorry, I hate united. i won't get to see my family until Thursday"
neutral,@JetBlue imma need the hook up tho
neutral,@JetBlue: Our fleet's on fleek. http://t.co/RLWBJ80mA5 r u serious
negative,I just need a place to sleep when I land without accommodations in PLS @AmericanAir!
negative,@united lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.
positive,@USAirways she also appreciated having her very own hashtag! :) #lucycat
positive,"@SouthwestAir 2/22-MDW 2 SAN flt 1687 attendant Melissa was awesome! Fast, smiling, great. After weather Cancelled Flight day b4, it was welcome"
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/fW3cy8HGdJ
negative,@united what a joke. Hang up on customers!!
negative,"@AmericanAir Stuck on a plane at JFK: food was not on the plane now we need to wait crew to push back the plane. Good job, AA!"
negative,"Nice try @AmericanAir I heard your crew whisper ""she's still at the hotel, she probably doesn't think she has to work until tomorrow"""
neutral,@AmericanAir Oh trust me. I am in love. It is so beautiful!
positive,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
negative,@AmericanAir so we have a Cancelled Flightled flight in about twelve hours. Maybe we'll have heard from an AA rep at that point.
negative,@USAirways that seems unlikely without a crew here to board us
negative,@united now been on board with no movement for 25 min...wow this experience just keeps getting worse and worse
neutral,@SouthwestAir is there a resource to check delays/Cancelled Flightlations out of Love Field? Flying out tomorrow am and stressed about weather! 
negative,"@AmericanAir i dont believe it, it has been impossible for your agents to get an update from the delivery company since yesterday at 11 am"
negative,"@USAirways I don't mind waiting, I mind waiting on a plane, when I shouldn't have had to.  The airport has more room and you know.. food!"
neutral,"@united how come it's cheaper to fly to BKK than NRT even though to get to BKK you take an extra flight, from NRT!"
negative,@united AN HOUR DELAY BECAUSE YOU CAN'T PRINT A PIECE OF PAPER!
positive,@JetBlue @BrandsSayingBae well here we go
positive,@USAirways thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel. #customerservice
neutral,@JetBlue actually flight 1089 not 1098
negative,"@AmericanAir No Meelan did not afford a supervisor to be included in the conversation, pls check the rec of the call #badcustomerservice"
negative,@SouthwestAir   Yes. Dale at Baggage office was wonderful. But not everyone is on the same page down there... We had a 6 hour wait!
negative,@jetblue had me on hold foreverrrrrr
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
negative,"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded"
neutral,"@AmericanAir yea no worries. I'm just going home to Denver. Not your fault, weather sucks bad."
negative,@AmericanAir how comes no one has answered my calls or emails?
negative,@AmericanAir I have to miss a whole days worth of work tomorrow but I'm suree you guys don't care
negative,@AmericanAir Requiring customers to fill out all the contact information each time seems designed to prevent or limit interaction.
negative,@JetBlue what's up with the random delay on flight 1729? Any chance of it being a false alarm?
negative,@united unacceptable. 403 was 90 min Late Flight for a 'missing screw' our flight to Tucson left before we even landed
neutral,"@JetBlue no one yet but some, fl 8162"
neutral,@AmericanAir Can you check on he status of my EXP membership card? Need the physical card to access some international lounges soon.
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
neutral,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(
negative,@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.
negative,@AmericanAir Customer service provides no wiggle room to change flight without a $200 change fee. @southwest has always been accommodating.
negative,@USAirways : Premier provider of missed connections! #usairwaysfail
neutral,"@USAirways It's 838. We boarded and we are waiting now to take off, hopefully."
negative,@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..
positive,"@JetBlue Even though this flight #226 didn't have much needed hot beverages 4 us NY-ers, the landing was super smooth   #happytweet"
negative,"@united Useless response. I need a functioning wheelchair, not a customer care form to fill out."
negative,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice"
negative,"@JetBlue Issue is JFK. Pilot explained once JFK reopens we can get scheduled back there, but why can't we divert to LGA? Closer than ACY!"
positive,"@SouthwestAir truly the best in #customerservice.  If something goes wrong, no matter how big or small the issue was, they fix it. Thank you"
negative,@USAirways but you guys switched me and didn't inform me of the chathes
negative,@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.
positive,@AmericanAir gate agent Jan L at Phoenix was at least able to get my younger daughter seated near my wife. Thank you!
positive,@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO
negative,@VirginAmerica everything was fine until you lost my bag
neutral,@united please see dm!!
negative,"@united It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!"
positive,"@USAirways captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. ""Greetings from the pointy end of the airplane"" haha thanks!"
negative,@AmericanAir me because it might not be so urgent for you but it really is for me. (5)
neutral,@JetBlue when can we start Flight Booking Problems flights for November?
negative,"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers."
negative,@AmericanAir my Mistake multibillion dollar company
neutral,@JetBlue: Our fleet's on fleek. http://t.co/LSYbgLF59j let's keep it professional
negative,@AmericanAir calling at 1am to tell me my flight has been rescheduled 12 hours Late Flightr than it was supposed be to seems like a bad solution
neutral,@AmericanAir Of course you are because that's your companies job! You guys failed at it in the first place. Upgrade me and then we'll talk.
neutral,"@JetBlue Tell me more ...

Because I need a 1 way to NYC, and I might choose you"
negative,@AmericanAir Hands down the worst airline to travel with. Really really fucking bad.
negative,@JetBlue where is it coming from? I thought Tampa?
negative,"&lt;3 &lt;3 RT @SouthwestAir! @danihampton Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!"
negative,@united I am still in the airport waiting for my flight.
negative,@americanair 30 minutes since landing - flight 1531 from Miami and no luggage- what's the delay
negative,".@united Our newest delay, right now http://t.co/96fTLZWtvO"
negative,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.
neutral,@united @annricord both!
positive,"@SouthwestAir luckily, the people working the BSO at Chicago Midway have been very attentive and found our bags in Punta Cana."
neutral,@SouthwestAir Thank you. The email about RR pts &amp; how to gain more wasn't clear so all of mine r gone. Anything u can do is appreciated.
negative,@USAirways  you Cancelled Flightled both my flights and refused to give a voucher despite no flights for 2days. @USAirways #neveragain
negative,@SouthwestAir flight 4040 atl to lga Cancelled Flightled any suggestions how to get home?
negative,@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).
positive,@USAirways ok thanks
negative,@united Another delayed United flight. I should not be this surprised or upset. I'm mostly disappointed I have to Cancelled Flight my trip with my dad
negative,"@united How is this considered ""on time"" if it's arriving at destination half hour Late Flightr than scheduled? http://t.co/YMFTw1uyHr"
neutral,@united flt 4567 has had two more updates in the last 3 minutes.
negative,@USAirways nice try at the gate making traveler after traveler put bags in the size guide because you oversold.  Sorry #minefits
positive,"@JetBlue My #FlyingItForward affects just one small family of four, but it would make a huge difference in their life."
negative,@SouthwestAir 4-4 in horrible customer service. Empty seats in early flight wantcharge me double to get home early instead the usual Late Flight
negative,@SouthwestAir Had to pay a $25 fare difference on a change but can't seem to find the receipt for it. How can I get a copy for reimbursement
negative,@AmericanAir my moms flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and its been 4. I need to go to bed!
negative,"@united Luckily, I had my disinfectant wipes and did your job for you. You're welcome. #badservice"
positive,@AmericanAir Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our #flightnightmare better than anyone.
negative,@AmericanAir this delayed bag was for my friend Lisa Pafe. She got her bag after 3 days in Costa Rica. Issue no updates on your system.
negative,@AmericanAir @cnnbrk they didn't address the assult or drinks spilled on her  the drunk passenger had to have a wheelchair to get off plane
negative,"@AmericanAir TY! But, their site says "" Please note that we do not offer a print subscription service for American Way. ..."""
negative,@united no apology? Cool.
negative,@AmericanAir Only fluctuated because aa took 2 hrs to call me back.Ended up paying (extra) in $US so above statement not true
negative,@united Priceless. United stranded my daughter at O'Hare. United did zero to keep her safe.....alone on a plastic chair for 9h! # United Air
negative,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.
negative,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here
neutral,@united as a million mile flier I'm embarrassed to ask how long ago his launched?
negative,@AmericanAir ok makes no sense tho Since you'll give me a free upgrade to first.
negative,@AmericanAir Yes and without my bags. 2 first class tickets to Tahiti would be nice. Just saying
positive,@AmericanAir no worries even though I was talking about seat assignment :)
negative,@USAirways can I at least get a response?  I tried the gate person (sent me the wrong way to cust srvc ) Cust Srvc (when I found them)
negative,"@SouthwestAir doesn't want to deal with me, but the world might want to know how they are treating their customers: http://t.co/sKKewqhssG"
negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative,@USAirways but only for certain flights from CLT-NYC. The notion that you can't rebook customers for 48 hours is absurd.
negative,"@AmericanAir I've been trying to change a Thursday flight and there's a ridiculous wait time on the phone, and your website isn't helping"
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
positive,@AmericanAir those were snacks we left on purpose for your team. :) for being so helpful this morning at the desk and on the phone!
negative,"@USAirways me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed"
negative,"@AmericanAir no. Booked seat in Dallas, live in Dallas. Real nice that your gate agent had exit row available told me they weren't available"
positive,@JetBlue That's why I love JetBlue! #truebluemember4life
negative,"@SouthwestAir RT @kkwhb: Paid for early bird boarding and got B46.  I said to lady, ""well, that system is about dead."" She didn't understand"
positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
